ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-01-17,'000519,ÖÐ±øºì¼ý,8.67,8.77,8.3,8.5,8.51,0.16,1.8801,2.3392,13634242,116806119.01,12168012453.5,5053457826.36
2018-01-16,'000519,ÖÐ±øºì¼ý,8.51,8.63,8.4,8.41,8.51,0.0,0.0,1.9064,11111580,94716009.24,11943458590.4,4960199089.08
2018-01-15,'000519,ÖÐ±øºì¼ý,8.51,9.1,8.47,9.09,9.12,-0.61,-6.6886,3.1195,18182826,158939423.31,11943458590.4,4960199089.08
2018-01-12,'000519,ÖÐ±øºì¼ý,9.12,9.35,9.02,9.22,9.29,-0.17,-1.8299,1.9366,11287553,103888043.84,12799570193.3,5315748024.96
2018-01-11,'000519,ÖÐ±øºì¼ý,9.29,9.44,9.12,9.44,9.48,-0.19,-2.0042,2.4804,14457658,133946168.67,13038158672.8,5414835433.32
2018-01-10,'000519,ÖÐ±øºì¼ý,9.48,9.6,9.42,9.6,9.63,-0.15,-1.5576,2.1786,12698609,120747086.39,13304816385.1,5525580183.84
2018-01-09,'000519,ÖÐ±øºì¼ý,9.63,9.82,9.6,9.75,9.81,-0.18,-1.8349,2.7848,16231853,157091517.8,13515335631.7,5613010250.04
2018-01-08,'000519,ÖÐ±øºì¼ý,9.81,9.94,9.71,9.94,10.05,-0.24,-2.3881,3.2322,18839539,185184716.89,13767958727.6,5717926329.48
2018-01-05,'000519,ÖÐ±øºì¼ý,10.05,10.15,9.54,9.77,9.86,0.19,1.927,5.694,33188409,325856909.61,14104789522.2,5857814435.4
2018-01-04,'000519,ÖÐ±øºì¼ý,9.86,10.19,9.81,10.03,9.94,-0.08,-0.8048,4.2358,24689269,246790578.56,13838131809.8,5747069684.88
2018-01-03,'000519,ÖÐ±øºì¼ý,9.94,10.05,9.81,9.88,9.99,-0.05,-0.5005,4.1736,24326574,241435873.8,13950408741.4,5793699053.52
2018-01-02,'000519,ÖÐ±øºì¼ý,9.99,10.07,9.6,9.8,9.85,0.14,1.4213,4.2121,24551061,242050765.83,14020581823.6,5822842408.92
2017-12-29,'000519,ÖÐ±øºì¼ý,9.85,9.87,9.46,9.69,9.82,0.03,0.3055,4.2022,24493057,236497322.39,13824097193.4,5741241013.8
2017-12-28,'000519,ÖÐ±øºì¼ý,9.82,10.14,9.76,9.96,9.98,-0.16,-1.6032,3.9707,23144169,229656316.35,13781993344.1,5723755000.56
2017-12-27,'000519,ÖÐ±øºì¼ý,9.98,10.32,9.94,10.1,10.22,-0.24,-2.3483,5.228,30472546,307913627.43,14006547207.1,5817013737.84
2017-12-26,'000519,ÖÐ±øºì¼ý,10.22,10.25,9.4,9.4,9.52,0.7,7.3529,7.0216,40926672,405872631.74,14343378001.7,5956901843.76
2017-12-25,'000519,ÖÐ±øºì¼ý,9.52,9.56,9.23,9.47,9.36,0.16,1.7094,3.2431,18903056,178572062.55,13360954850.9,5548894868.16
2017-12-22,'000519,ÖÐ±øºì¼ý,9.36,9.83,9.27,9.78,9.86,-0.5,-5.071,5.0376,29362503,279879482.34,13136400987.8,5455636130.88
2017-12-21,'000519,ÖÐ±øºì¼ý,9.86,9.98,9.75,9.91,10.08,-0.22,-2.1825,3.405,19846462,196075111.55,13838131809.8,5747069684.88
2017-12-20,'000519,ÖÐ±øºì¼ý,10.08,10.17,9.7,9.86,9.94,0.14,1.4085,5.1098,29783388,297265488.68,14146893371.5,5875300448.64
2017-12-19,'000519,ÖÐ±øºì¼ý,9.94,10.2,9.72,9.93,10.02,-0.08,-0.7984,5.4732,31901447,315648738.41,13950408741.4,5793699053.52
2017-12-18,'000519,ÖÐ±øºì¼ý,10.02,10.61,9.9,10.01,10.17,-0.15,-1.4749,8.1415,47454240,486805008.34,14062685672.9,5840328422.16
2017-12-15,'000519,ÖÐ±øºì¼ý,10.17,10.49,9.41,9.7,9.68,0.49,5.062,7.7433,45133165,444226125.57,14273204919.5,5927758488.36
2017-12-14,'000519,ÖÐ±øºì¼ý,9.68,9.8,9.21,9.28,9.39,0.29,3.0884,6.659,38813156,370628156.59,13585508713.9,5642153605.44
2017-12-13,'000519,ÖÐ±øºì¼ý,9.39,9.69,8.91,9.02,9.12,0.27,2.9605,5.6473,32916234,305199923.4,13178504837.2,5473122144.12
2017-12-12,'000519,ÖÐ±øºì¼ý,9.12,9.25,9.06,9.23,9.29,-0.17,-1.8299,3.4228,19950295,182762194.57,12799570193.3,5315748024.96
2017-12-11,'000519,ÖÐ±øºì¼ý,9.29,9.38,9.06,9.26,9.35,-0.06,-0.6417,5.2685,30708637,283366030.43,13038158672.8,5414835433.32
