�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2018-01-16,'002473,*ST吤應,9.6,9.75,9.54,9.54,9.72,-0.12,-1.2346,1.2134,1941492,18765661.58,1536000000.0,1536000000.0
2018-01-15,'002473,*ST吤應,9.72,10.2,9.72,10.2,10.23,-0.51,-4.9853,1.7389,2782213,27507304.03,1555200000.0,1555200000.0
2018-01-12,'002473,*ST吤應,10.23,10.45,10.14,10.2,10.22,0.01,0.0978,1.3126,2100107,21585324.39,1636800000.0,1636800000.0
2018-01-11,'002473,*ST吤應,10.22,10.33,9.97,10.22,10.25,-0.03,-0.2927,1.5489,2478193,25137063.1,1635200000.0,1635200000.0
2018-01-10,'002473,*ST吤應,10.25,10.74,10.23,10.72,10.71,-0.46,-4.2951,1.8881,3021002,31697237.67,1640000000.0,1640000000.0
2018-01-09,'002473,*ST吤應,10.71,10.89,10.65,10.71,10.69,0.02,0.1871,1.4289,2286287,24563396.1,1713600000.0,1713600000.0
2018-01-08,'002473,*ST吤應,10.69,10.83,10.6,10.77,10.9,-0.21,-1.9266,1.3751,2200187,23531329.47,1710400000.0,1710400000.0
2018-01-05,'002473,*ST吤應,10.9,10.9,10.46,10.61,10.67,0.23,2.1556,2.1349,3415798,36571947.32,1744000000.0,1744000000.0
2018-01-04,'002473,*ST吤應,10.67,10.77,10.56,10.7,10.86,-0.19,-1.7495,2.3318,3730940,39744223.2,1707200000.0,1707200000.0
2018-01-03,'002473,*ST吤應,10.86,10.98,10.32,10.38,10.47,0.39,3.7249,4.2927,6868271,73275877.3,1737600000.0,1737600000.0
2018-01-02,'002473,*ST吤應,10.47,10.75,10.17,10.51,10.69,-0.22,-2.058,4.443,7108788,73823065.48,1675200000.0,1675200000.0
2017-12-29,'002473,*ST吤應,10.69,11.06,10.69,11.03,11.25,-0.56,-4.9778,2.1718,3474800,37482365.0,1710400000.0,1710400000.0
2017-12-28,'002473,*ST吤應,11.25,11.84,11.25,11.25,11.84,-0.59,-4.9831,5.5554,8888592,100250890.59,1800000000.0,1800000000.0
2017-12-27,'002473,*ST吤應,11.84,11.84,11.84,11.84,12.46,-0.62,-4.9759,0.039,62400,738816.0,1894400000.0,1894400000.0
2017-12-26,'002473,*ST吤應,12.46,12.46,12.46,12.46,13.12,-0.66,-5.0305,0.0145,23200,289072.0,1993600000.0,1993600000.0
2017-12-25,'002473,*ST吤應,13.12,13.12,13.12,13.12,13.81,-0.69,-4.9964,0.0183,29300,384416.0,2099200000.0,2099200000.0
2017-12-22,'002473,*ST吤應,13.81,13.81,13.81,13.81,14.54,-0.73,-5.0206,0.0104,16700,230627.0,2209600000.0,2209600000.0
2017-12-21,'002473,*ST吤應,14.54,14.54,14.54,14.54,15.3,-0.76,-4.9673,0.0069,11100,161394.0,2326400000.0,2326400000.0
2017-12-20,'002473,*ST吤應,15.3,15.3,15.3,15.3,16.11,-0.81,-5.0279,0.0124,19800,302940.0,2448000000.0,2448000000.0
2017-12-19,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-12-18,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-12-15,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-12-14,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-12-13,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-12-12,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-12-11,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-12-08,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-12-07,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-12-06,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-12-05,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-12-04,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-12-01,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-11-30,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
2017-11-29,'002473,*ST吤應,0.0,0.0,0.0,0.0,16.11,None,None,0.0,0,0.0,2577600000.0,2577600000.0
