хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2018-01-18,'002239,╟бль╪я,3.84,3.85,3.81,3.84,3.85,-0.01,-0.2597,0.4635,8896913,34046322.59,12024420161.3,7371279202.56
2018-01-17,'002239,╟бль╪я,3.85,3.86,3.79,3.84,3.87,-0.02,-0.5168,0.4837,9284630,35511786.64,12055733755.5,7390475242.15
2018-01-16,'002239,╟бль╪я,3.87,3.9,3.84,3.85,3.86,0.01,0.2591,0.4315,8283020,31983110.6,12118360943.8,7428867321.33
2018-01-15,'002239,╟бль╪я,3.86,3.95,3.86,3.93,3.93,-0.07,-1.7812,0.5975,11468766,44689900.4,12087047349.6,7409671281.74
2018-01-12,'002239,╟бль╪я,3.93,3.99,3.93,3.97,3.97,-0.04,-1.0076,0.3702,7106016,28024013.88,12306242508.8,7544043558.87
2018-01-11,'002239,╟бль╪я,3.97,3.97,3.91,3.95,3.95,0.02,0.5063,0.4436,8515060,33542774.8,12431496885.5,7620827717.23
2018-01-10,'002239,╟бль╪я,3.95,4.01,3.93,3.99,4.02,-0.07,-1.7413,0.6563,12597439,50010126.41,12368869697.1,7582435638.05
2018-01-09,'002239,╟бль╪я,4.02,4.07,3.98,4.05,4.05,-0.03,-0.7407,0.7042,13517433,54386880.49,12588064856.3,7716807915.18
2018-01-08,'002239,╟бль╪я,4.05,4.09,4.04,4.07,4.07,-0.02,-0.4914,0.5438,10439738,42345384.27,12682005638.9,7774396033.95
2018-01-05,'002239,╟бль╪я,4.07,4.12,4.06,4.11,4.11,-0.04,-0.9732,0.499,9578368,39043959.48,12744632827.2,7812788113.13
2018-01-04,'002239,╟бль╪я,4.11,4.13,4.06,4.07,4.09,0.02,0.489,0.5671,10885299,44605385.33,12869887203.9,7889572271.49
2018-01-03,'002239,╟бль╪я,4.09,4.1,4.03,4.05,4.05,0.04,0.9877,0.7453,14306084,58284674.95,12807260015.5,7851180192.31
2018-01-02,'002239,╟бль╪я,4.05,4.07,4.01,4.03,4.04,0.01,0.2475,0.4538,8710316,35203716.62,12682005638.9,7774396033.95
2017-12-29,'002239,╟бль╪я,4.04,4.07,4.02,4.03,4.04,0.0,0.0,0.3971,7623088,30812687.72,12650692044.7,7755199994.36
2017-12-28,'002239,╟бль╪я,4.04,4.09,4.02,4.03,4.06,-0.02,-0.4926,0.766,14703638,59704915.21,12650692044.7,7755199994.36
2017-12-27,'002239,╟бль╪я,4.06,4.15,3.98,4.03,4.03,0.03,0.7444,1.0002,19200471,77815035.98,12713319233.0,7793592073.54
