»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2017-12-28,'002194,Œ‰∫∫∑≤π»,10.17,10.53,10.12,10.27,10.33,-0.16,-1.5489,3.7871,21384383,220096529.79,5742691072.74,5742691072.74
2017-12-27,'002194,Œ‰∫∫∑≤π»,10.33,10.7,10.11,10.2,10.23,0.1,0.9775,4.5875,25904215,269098172.33,5833038228.26,5833038228.26
2017-12-26,'002194,Œ‰∫∫∑≤π»,10.23,10.34,10.11,10.3,10.13,0.1,0.9872,3.3679,19017400,194437486.0,5776571256.06,5776571256.06
2017-12-25,'002194,Œ‰∫∫∑≤π»,10.13,10.48,10.07,10.34,10.33,-0.2,-1.9361,3.3327,18818671,192648008.18,5720104283.86,5720104283.86
2017-12-22,'002194,Œ‰∫∫∑≤π»,10.33,10.81,10.25,10.6,10.75,-0.42,-3.907,4.4439,25093433,262877875.24,5833038228.26,5833038228.26
2017-12-21,'002194,Œ‰∫∫∑≤π»,10.75,11.15,10.21,10.68,10.76,-0.01,-0.0929,5.2681,29747394,322394099.17,6070199511.5,6070199511.5
2017-12-20,'002194,Œ‰∫∫∑≤π»,10.76,11.24,10.57,10.95,11.63,-0.87,-7.4807,7.6016,42924129,470153794.38,6075846208.72,6075846208.72
2017-12-19,'002194,Œ‰∫∫∑≤π»,11.63,11.8,10.04,10.73,11.16,0.47,4.2115,11.3447,64060084,671202812.66,6567108866.86,6567108866.86
2017-12-18,'002194,Œ‰∫∫∑≤π»,11.16,12.21,11.16,12.2,12.4,-1.24,-10.0,4.1972,23700511,269477751.9,6301714097.52,6301714097.52
2017-12-15,'002194,Œ‰∫∫∑≤π»,12.4,12.57,12.23,12.47,12.38,0.02,0.1616,2.47,13947095,172792634.26,7001904552.8,7001904552.8
2017-12-14,'002194,Œ‰∫∫∑≤π»,12.38,12.5,12.21,12.36,12.28,0.1,0.8143,2.4522,13847011,170852635.53,6990611158.36,6990611158.36
2017-12-13,'002194,Œ‰∫∫∑≤π»,12.28,12.54,11.87,12.0,12.21,0.07,0.5733,3.406,19232507,236539713.93,6934144186.16,6934144186.16
