�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2018-01-16,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2018-01-15,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2018-01-12,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2018-01-11,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2018-01-10,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2018-01-09,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2018-01-08,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2018-01-05,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2018-01-04,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2018-01-03,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2018-01-02,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2017-12-29,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2017-12-28,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2017-12-27,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
2017-12-26,'002082,集褽陔第,0.0,0.0,0.0,0.0,13.97,None,None,0.0,0,0.0,3324860000.0,3324860000.0
